Month of Period End,Region,Avg. Median Sale Price,Avg. Median Ppsf
Oct-18,"San Francisco, CA - Marina District","$1,803K","1,176.26"
Nov-18,"San Francisco, CA - Marina District","$2,028K","1,092.34"
Dec-18,"San Francisco, CA - Marina District","$2,413K","1,055.25"
Jan-19,"San Francisco, CA - Marina District","$2,413K","1,245.25"
Feb-19,"San Francisco, CA - Marina District","$2,443K","1,264.37"
Mar-19,"San Francisco, CA - Marina District","$2,080K","1,257.18"
Apr-19,"San Francisco, CA - Marina District","$2,200K","1,275.08"
May-19,"San Francisco, CA - Marina District","$2,200K","1,210.46"
Jun-19,"San Francisco, CA - Marina District","$2,525K","1,213.21"
Jul-19,"San Francisco, CA - Marina District","$2,500K","1,152.44"
Aug-19,"San Francisco, CA - Marina District","$2,550K","1,232.11"
Sep-19,"San Francisco, CA - Marina District","$1,990K","1,200.58"
Oct-19,"San Francisco, CA - Marina District","$1,685K","1,183.68"
Nov-19,"San Francisco, CA - Marina District","$1,593K","1,122.19"
Dec-19,"San Francisco, CA - Marina District","$2,300K","1,116.94"
Jan-20,"San Francisco, CA - Marina District","$2,300K",517.2727273
Feb-20,"San Francisco, CA - Marina District","$2,400K",533.6363636
Feb-12,"San Francisco, CA - Lower Pacific Heights",$569K,550
Mar-12,"San Francisco, CA - Lower Pacific Heights",$630K,552.1478741
Apr-12,"San Francisco, CA - Lower Pacific Heights",$815K,651.8992255
May-12,"San Francisco, CA - Lower Pacific Heights",$942K,677.2575251
Jun-12,"San Francisco, CA - Lower Pacific Heights",$815K,690.625
Jul-12,"San Francisco, CA - Lower Pacific Heights",$811K,719.6272434
Aug-12,"San Francisco, CA - Lower Pacific Heights",$800K,681.5217391
Sep-12,"San Francisco, CA - Lower Pacific Heights",$825K,707.5471698
Oct-12,"San Francisco, CA - Lower Pacific Heights",$830K,657.8947368
Nov-12,"San Francisco, CA - Lower Pacific Heights",$990K,692.6188069
Dec-12,"San Francisco, CA - Lower Pacific Heights","$1,283K",516.4976609
Jan-13,"San Francisco, CA - Lower Pacific Heights","$1,215K",671.182233
Feb-13,"San Francisco, CA - Lower Pacific Heights","$1,030K",713.3152174
Mar-13,"San Francisco, CA - Lower Pacific Heights","$1,020K",735.6225503
Apr-13,"San Francisco, CA - Lower Pacific Heights","$1,008K",763.5746606
May-13,"San Francisco, CA - Lower Pacific Heights","$1,023K",818.7038556
Jun-13,"San Francisco, CA - Lower Pacific Heights","$1,140K",826.0869565
Jul-13,"San Francisco, CA - Lower Pacific Heights","$1,205K",824.9521243
Aug-13,"San Francisco, CA - Lower Pacific Heights","$1,385K",777.3744707
Sep-13,"San Francisco, CA - Lower Pacific Heights","$1,175K",699.2267585
Oct-13,"San Francisco, CA - Lower Pacific Heights","$1,285K",777.3744707
Nov-13,"San Francisco, CA - Lower Pacific Heights","$1,100K",668.46379
Dec-13,"San Francisco, CA - Lower Pacific Heights","$1,130K",808.7913845
Jan-14,"San Francisco, CA - Lower Pacific Heights","$1,003K",874.5603751
Feb-14,"San Francisco, CA - Lower Pacific Heights","$1,104K",843.7842526
Mar-14,"San Francisco, CA - Lower Pacific Heights","$1,410K",904.6846315
Apr-14,"San Francisco, CA - Lower Pacific Heights","$1,492K",884.1815062
May-14,"San Francisco, CA - Lower Pacific Heights","$1,170K",848.2881426
Jun-14,"San Francisco, CA - Lower Pacific Heights","$1,000K",803.0592734
Jul-14,"San Francisco, CA - Lower Pacific Heights",$934K,763.3587786
Aug-14,"San Francisco, CA - Lower Pacific Heights",$957K,870.6990244
Sep-14,"San Francisco, CA - Lower Pacific Heights",$932K,943.2587194
Oct-14,"San Francisco, CA - Lower Pacific Heights","$1,260K",943.2587194
Nov-14,"San Francisco, CA - Lower Pacific Heights","$1,812K",919.384058
Dec-14,"San Francisco, CA - Lower Pacific Heights","$1,600K",767.8076788
Jan-15,"San Francisco, CA - Lower Pacific Heights","$1,015K",913.0976985
Feb-15,"San Francisco, CA - Lower Pacific Heights",$855K,"1,053.50"
Mar-15,"San Francisco, CA - Lower Pacific Heights",$893K,"1,149.47"
Apr-15,"San Francisco, CA - Lower Pacific Heights",$925K,"1,101.48"
May-15,"San Francisco, CA - Lower Pacific Heights","$1,293K","1,123.35"
Jun-15,"San Francisco, CA - Lower Pacific Heights","$1,293K",872.6415094
Jul-15,"San Francisco, CA - Lower Pacific Heights","$1,620K",872.6415094
Aug-15,"San Francisco, CA - Lower Pacific Heights","$1,575K","1,016.39"
Sep-15,"San Francisco, CA - Lower Pacific Heights","$1,400K","1,040.72"
Oct-15,"San Francisco, CA - Lower Pacific Heights","$1,600K","1,027.12"
Nov-15,"San Francisco, CA - Lower Pacific Heights","$1,600K","1,013.51"
Dec-15,"San Francisco, CA - Lower Pacific Heights","$1,406K",975.0825486
Jan-16,"San Francisco, CA - Lower Pacific Heights","$1,263K","1,069.07"
Feb-16,"San Francisco, CA - Lower Pacific Heights","$1,155K",966.5300546
Mar-16,"San Francisco, CA - Lower Pacific Heights","$1,333K",888.2352941
Apr-16,"San Francisco, CA - Lower Pacific Heights","$1,675K",888.2352941
May-16,"San Francisco, CA - Lower Pacific Heights","$1,675K",944.4444444
Jun-16,"San Francisco, CA - Lower Pacific Heights","$1,575K","1,006.58"
Jul-16,"San Francisco, CA - Lower Pacific Heights","$1,325K",997.7339181
Aug-16,"San Francisco, CA - Lower Pacific Heights","$1,275K","1,055.70"
Sep-16,"San Francisco, CA - Lower Pacific Heights","$1,274K","1,192.58"
Oct-16,"San Francisco, CA - Lower Pacific Heights","$1,272K","1,245.01"
Nov-16,"San Francisco, CA - Lower Pacific Heights","$1,356K","1,131.72"
Dec-16,"San Francisco, CA - Lower Pacific Heights","$1,325K",999.2254067
Jan-17,"San Francisco, CA - Lower Pacific Heights","$1,275K",993.8749984
Feb-17,"San Francisco, CA - Lower Pacific Heights","$1,283K","1,040.46"
Mar-17,"San Francisco, CA - Lower Pacific Heights","$1,268K","1,080.89"
Apr-17,"San Francisco, CA - Lower Pacific Heights","$1,353K","1,159.42"
May-17,"San Francisco, CA - Lower Pacific Heights","$1,330K","1,114.15"
Jun-17,"San Francisco, CA - Lower Pacific Heights","$1,402K","1,103.37"
Jul-17,"San Francisco, CA - Lower Pacific Heights","$1,260K","1,103.37"
Aug-17,"San Francisco, CA - Lower Pacific Heights","$1,365K","1,076.04"
Sep-17,"San Francisco, CA - Lower Pacific Heights","$1,350K","1,097.56"
Oct-17,"San Francisco, CA - Lower Pacific Heights","$1,550K","1,031.25"
Nov-17,"San Francisco, CA - Lower Pacific Heights","$1,350K","1,048.72"
Dec-17,"San Francisco, CA - Lower Pacific Heights","$1,350K","1,054.48"
Jan-18,"San Francisco, CA - Lower Pacific Heights","$1,325K","1,150.86"
Feb-18,"San Francisco, CA - Lower Pacific Heights","$1,425K","1,184.21"
Mar-18,"San Francisco, CA - Lower Pacific Heights","$1,529K","1,216.55"
Apr-18,"San Francisco, CA - Lower Pacific Heights","$1,530K","1,236.74"
May-18,"San Francisco, CA - Lower Pacific Heights","$1,535K","1,216.89"
Jun-18,"San Francisco, CA - Lower Pacific Heights","$2,307K","1,109.73"
Jul-18,"San Francisco, CA - Lower Pacific Heights","$2,307K","1,109.73"
Aug-18,"San Francisco, CA - Lower Pacific Heights","$1,663K","1,090.99"
Sep-18,"San Francisco, CA - Lower Pacific Heights","$1,405K","1,086.96"
Oct-18,"San Francisco, CA - Lower Pacific Heights","$1,625K","1,076.78"
Nov-18,"San Francisco, CA - Lower Pacific Heights","$1,530K","1,077.60"
Dec-18,"San Francisco, CA - Lower Pacific Heights","$1,750K",990.165523
Jan-19,"San Francisco, CA - Lower Pacific Heights","$1,735K","1,151.71"
Feb-19,"San Francisco, CA - Lower Pacific Heights","$1,400K","1,168.18"
Mar-19,"San Francisco, CA - Lower Pacific Heights","$1,450K","1,241.64"
Apr-19,"San Francisco, CA - Lower Pacific Heights","$1,488K","1,191.84"
May-19,"San Francisco, CA - Lower Pacific Heights","$1,585K",941.754431
Jun-19,"San Francisco, CA - Lower Pacific Heights","$1,895K",919.4565745
Jul-19,"San Francisco, CA - Lower Pacific Heights","$1,940K","1,148.55"
Aug-19,"San Francisco, CA - Lower Pacific Heights","$1,749K","1,096.24"
Sep-19,"San Francisco, CA - Lower Pacific Heights","$1,325K","1,114.27"
Oct-19,"San Francisco, CA - Lower Pacific Heights","$1,298K","1,003.28"
Nov-19,"San Francisco, CA - Lower Pacific Heights","$1,325K","1,003.28"
Dec-19,"San Francisco, CA - Lower Pacific Heights","$1,595K","1,037.31"
Jan-20,"San Francisco, CA - Lower Pacific Heights","$1,500K",562.3100304
Feb-20,"San Francisco, CA - Lower Pacific Heights","$1,438K",583.5777126
Feb-12,"San Francisco, CA - Lower Nob Hill",$373K,618.6879846
Mar-12,"San Francisco, CA - Lower Nob Hill",$375K,678.5714286
Apr-12,"San Francisco, CA - Lower Nob Hill",$440K,651.7857143
May-12,"San Francisco, CA - Lower Nob Hill",$418K,625.7521059
Jun-12,"San Francisco, CA - Lower Nob Hill",$415K,653.0612245
Jul-12,"San Francisco, CA - Lower Nob Hill",$414K,665.1382072
Aug-12,"San Francisco, CA - Lower Nob Hill",$385K,677.2151899
Sep-12,"San Francisco, CA - Lower Nob Hill",$390K,641.509434
Oct-12,"San Francisco, CA - Lower Nob Hill",$433K,720.1449275
Nov-12,"San Francisco, CA - Lower Nob Hill",$475K,713.3333333
Dec-12,"San Francisco, CA - Lower Nob Hill",$477K,726.9565217
Jan-13,"San Francisco, CA - Lower Nob Hill",$475K,682.8978622
Feb-13,"San Francisco, CA - Lower Nob Hill",$575K,723.2142857
Mar-13,"San Francisco, CA - Lower Nob Hill",$738K,732.687132
Apr-13,"San Francisco, CA - Lower Nob Hill",$575K,753.7807183
May-13,"San Francisco, CA - Lower Nob Hill",$610K,791.6666667
Jun-13,"San Francisco, CA - Lower Nob Hill",$570K,830.759737
Jul-13,"San Francisco, CA - Lower Nob Hill",$570K,874.5874587
Aug-13,"San Francisco, CA - Lower Nob Hill",$556K,866.1280852
Sep-13,"San Francisco, CA - Lower Nob Hill",$555K,810.6870229
Oct-13,"San Francisco, CA - Lower Nob Hill",$556K,800.7692308
Nov-13,"San Francisco, CA - Lower Nob Hill",$530K,801.5384615
Dec-13,"San Francisco, CA - Lower Nob Hill",$531K,814.37433
Jan-14,"San Francisco, CA - Lower Nob Hill",$659K,856.5737052
Feb-14,"San Francisco, CA - Lower Nob Hill",$664K,869.195923
Mar-14,"San Francisco, CA - Lower Nob Hill",$716K,919.379845
Apr-14,"San Francisco, CA - Lower Nob Hill",$600K,901.6444927
May-14,"San Francisco, CA - Lower Nob Hill",$635K,855.4216867
Jun-14,"San Francisco, CA - Lower Nob Hill",$600K,846.4925693
Jul-14,"San Francisco, CA - Lower Nob Hill",$618K,765.0862069
Aug-14,"San Francisco, CA - Lower Nob Hill",$600K,780.2703762
Sep-14,"San Francisco, CA - Lower Nob Hill",$588K,767.2422843
Oct-14,"San Francisco, CA - Lower Nob Hill",$600K,803.5714286
Nov-14,"San Francisco, CA - Lower Nob Hill",$612K,889.8305085
Dec-14,"San Francisco, CA - Lower Nob Hill",$612K,889.8305085
Jan-15,"San Francisco, CA - Lower Nob Hill",$615K,846.6476462
Feb-15,"San Francisco, CA - Lower Nob Hill",$515K,846.6476462
Mar-15,"San Francisco, CA - Lower Nob Hill",$568K,952.3809524
Apr-15,"San Francisco, CA - Lower Nob Hill",$593K,987.8683145
May-15,"San Francisco, CA - Lower Nob Hill",$595K,"1,044.19"
Jun-15,"San Francisco, CA - Lower Nob Hill",$755K,"1,124.25"
Jul-15,"San Francisco, CA - Lower Nob Hill",$730K,"1,111.11"
Aug-15,"San Francisco, CA - Lower Nob Hill",$740K,999.0990991
Sep-15,"San Francisco, CA - Lower Nob Hill",$575K,999.0990991
Oct-15,"San Francisco, CA - Lower Nob Hill",$690K,"1,011.29"
Nov-15,"San Francisco, CA - Lower Nob Hill",$665K,"1,022.58"
Dec-15,"San Francisco, CA - Lower Nob Hill",$770K,978.2095487
Jan-16,"San Francisco, CA - Lower Nob Hill",$770K,897.5
Feb-16,"San Francisco, CA - Lower Nob Hill",$798K,890.7423971
Mar-16,"San Francisco, CA - Lower Nob Hill",$709K,938.4615385
Apr-16,"San Francisco, CA - Lower Nob Hill",$885K,955.4455446
May-16,"San Francisco, CA - Lower Nob Hill",$767K,984.2105263
Jun-16,"San Francisco, CA - Lower Nob Hill","$1,027K","1,019.27"
Jul-16,"San Francisco, CA - Lower Nob Hill",$915K,917.721519
Aug-16,"San Francisco, CA - Lower Nob Hill",$915K,932.7169686
Sep-16,"San Francisco, CA - Lower Nob Hill",$750K,962.5780137
Oct-16,"San Francisco, CA - Lower Nob Hill",$738K,972.5609756
Nov-16,"San Francisco, CA - Lower Nob Hill",$698K,977.443609
Dec-16,"San Francisco, CA - Lower Nob Hill",$741K,994.5397816
Jan-17,"San Francisco, CA - Lower Nob Hill",$749K,994.5397816
Feb-17,"San Francisco, CA - Lower Nob Hill",$799K,986.9959182
Mar-17,"San Francisco, CA - Lower Nob Hill",$817K,918.196995
Apr-17,"San Francisco, CA - Lower Nob Hill",$715K,965.1307597
May-17,"San Francisco, CA - Lower Nob Hill",$680K,969.1243194
Jun-17,"San Francisco, CA - Lower Nob Hill",$725K,969.1243194
Jul-17,"San Francisco, CA - Lower Nob Hill",$810K,969.8275862
Aug-17,"San Francisco, CA - Lower Nob Hill",$810K,855.0228311
Sep-17,"San Francisco, CA - Lower Nob Hill",$863K,830.4297329
Oct-17,"San Francisco, CA - Lower Nob Hill",$899K,"1,090.34"
Nov-17,"San Francisco, CA - Lower Nob Hill",$899K,"1,225.43"
Dec-17,"San Francisco, CA - Lower Nob Hill",$880K,"1,225.43"
Jan-18,"San Francisco, CA - Lower Nob Hill",$845K,"1,171.73"
Feb-18,"San Francisco, CA - Lower Nob Hill",$805K,"1,136.46"
Mar-18,"San Francisco, CA - Lower Nob Hill",$805K,"1,325.70"
Apr-18,"San Francisco, CA - Lower Nob Hill",$788K,"1,272.15"
May-18,"San Francisco, CA - Lower Nob Hill",$703K,"1,163.97"
Jun-18,"San Francisco, CA - Lower Nob Hill",$880K,"1,163.97"
Jul-18,"San Francisco, CA - Lower Nob Hill",$780K,"1,194.50"
Aug-18,"San Francisco, CA - Lower Nob Hill",$860K,"1,402.82"
Sep-18,"San Francisco, CA - Lower Nob Hill",$775K,"1,175.81"
Oct-18,"San Francisco, CA - Lower Nob Hill",$825K,982.3515045
Nov-18,"San Francisco, CA - Lower Nob Hill",$745K,991.6666667
Dec-18,"San Francisco, CA - Lower Nob Hill",$825K,"1,072.37"
Jan-19,"San Francisco, CA - Lower Nob Hill",$732K,"1,105.62"
Feb-19,"San Francisco, CA - Lower Nob Hill",$640K,"1,068.81"
Mar-19,"San Francisco, CA - Lower Nob Hill",$650K,"1,027.72"
Apr-19,"San Francisco, CA - Lower Nob Hill",$655K,994.1501423
May-19,"San Francisco, CA - Lower Nob Hill",$720K,"1,076.12"
Jun-19,"San Francisco, CA - Lower Nob Hill",$715K,"1,124.55"
Jul-19,"San Francisco, CA - Lower Nob Hill",$728K,"1,066.23"
Aug-19,"San Francisco, CA - Lower Nob Hill",$750K,"1,058.06"
Sep-19,"San Francisco, CA - Lower Nob Hill",$820K,"1,054.10"
Oct-19,"San Francisco, CA - Lower Nob Hill",$850K,"1,085.29"
Nov-19,"San Francisco, CA - Lower Nob Hill",$818K,"1,135.22"
Dec-19,"San Francisco, CA - Lower Nob Hill",$785K,"1,298.61"
Jan-20,"San Francisco, CA - Lower Nob Hill",$998K,557.3770492
Feb-20,"San Francisco, CA - Lower Nob Hill","$1,193K",578.0392157
Feb-12,"San Francisco, CA - Lower Haight",$830K,574.1073271
Mar-12,"San Francisco, CA - Lower Haight",$743K,448.6661277
Apr-12,"San Francisco, CA - Lower Haight",$853K,537.2173913
May-12,"San Francisco, CA - Lower Haight",$875K,526.3392482
Jun-12,"San Francisco, CA - Lower Haight",$738K,537.2173913
Jul-12,"San Francisco, CA - Lower Haight",$630K,522.2437137
Aug-12,"San Francisco, CA - Lower Haight",$703K,399.1474688
Sep-12,"San Francisco, CA - Lower Haight",$875K,596.8886463
Oct-12,"San Francisco, CA - Lower Haight",$908K,663.7168142
Nov-12,"San Francisco, CA - Lower Haight","$1,009K",669.5137285
Dec-12,"San Francisco, CA - Lower Haight","$1,200K",675.3106429
Jan-13,"San Francisco, CA - Lower Haight","$1,150K",747.5728155
Feb-13,"San Francisco, CA - Lower Haight","$1,200K",764.9079647
Mar-13,"San Francisco, CA - Lower Haight",$749K,757.9617834
Apr-13,"San Francisco, CA - Lower Haight",$853K,642.8571429
May-13,"San Francisco, CA - Lower Haight",$943K,633.3333333
Jun-13,"San Francisco, CA - Lower Haight",$943K,784.3137255
Jul-13,"San Francisco, CA - Lower Haight",$850K,827.6714021
Aug-13,"San Francisco, CA - Lower Haight",$813K,827.6714021
Sep-13,"San Francisco, CA - Lower Haight",$785K,752.6530612
Oct-13,"San Francisco, CA - Lower Haight",$740K,810.3543084
Nov-13,"San Francisco, CA - Lower Haight",$922K,845.1327434
Dec-13,"San Francisco, CA - Lower Haight",$922K,885.0663717
Jan-14,"San Francisco, CA - Lower Haight","$1,331K",833.3333333
Feb-14,"San Francisco, CA - Lower Haight","$1,430K",815.3638814
Mar-14,"San Francisco, CA - Lower Haight","$1,135K",824.3486074
Apr-14,"San Francisco, CA - Lower Haight","$1,010K",644.0823328
May-14,"San Francisco, CA - Lower Haight","$1,060K",658.8569153
Jun-14,"San Francisco, CA - Lower Haight","$1,308K",583.2964795
Jul-14,"San Francisco, CA - Lower Haight","$1,308K",744.347247
Aug-14,"San Francisco, CA - Lower Haight","$2,095K",812.9584352
Sep-14,"San Francisco, CA - Lower Haight","$2,095K",888.4822804
Oct-14,"San Francisco, CA - Lower Haight","$1,300K",854.7818954
Nov-14,"San Francisco, CA - Lower Haight","$1,085K",875.3455944
Dec-14,"San Francisco, CA - Lower Haight","$1,090K",922.045264
Jan-15,"San Francisco, CA - Lower Haight",$983K,934.5794393
Feb-15,"San Francisco, CA - Lower Haight",$939K,949.240515
Mar-15,"San Francisco, CA - Lower Haight","$1,105K","1,039.65"
Apr-15,"San Francisco, CA - Lower Haight","$1,150K","1,121.38"
May-15,"San Francisco, CA - Lower Haight","$1,230K","1,000"
Jun-15,"San Francisco, CA - Lower Haight","$1,178K",883.0694275
Jul-15,"San Francisco, CA - Lower Haight","$1,300K",869.0987124
Aug-15,"San Francisco, CA - Lower Haight","$1,313K","1,047.79"
Sep-15,"San Francisco, CA - Lower Haight","$1,525K","1,022.12"
Oct-15,"San Francisco, CA - Lower Haight","$1,413K",901.0736196
Nov-15,"San Francisco, CA - Lower Haight","$1,675K",879.481875
Dec-15,"San Francisco, CA - Lower Haight","$1,695K",883.9127873
Jan-16,"San Francisco, CA - Lower Haight","$1,950K",872.9908764
Feb-16,"San Francisco, CA - Lower Haight","$1,835K",883.9127873
Mar-16,"San Francisco, CA - Lower Haight","$1,430K",998.3333333
Apr-16,"San Francisco, CA - Lower Haight","$1,280K","1,000.77"
May-16,"San Francisco, CA - Lower Haight","$1,308K","1,003.21"
Jun-16,"San Francisco, CA - Lower Haight","$1,433K",996.9651273
Jul-16,"San Francisco, CA - Lower Haight","$1,499K","1,050.39"
Aug-16,"San Francisco, CA - Lower Haight","$1,433K",973.3564014
Sep-16,"San Francisco, CA - Lower Haight","$1,228K",966.4945185
Oct-16,"San Francisco, CA - Lower Haight","$1,086K",943.443367
Nov-16,"San Francisco, CA - Lower Haight","$1,293K",966.1933452
Dec-16,"San Francisco, CA - Lower Haight","$1,138K","1,035.59"
Jan-17,"San Francisco, CA - Lower Haight","$1,138K","1,035.59"
Feb-17,"San Francisco, CA - Lower Haight","$1,025K","1,116.95"
Mar-17,"San Francisco, CA - Lower Haight","$1,205K","1,011.09"
Apr-17,"San Francisco, CA - Lower Haight","$1,283K","1,011.09"
May-17,"San Francisco, CA - Lower Haight","$1,305K",978.3393502
Jun-17,"San Francisco, CA - Lower Haight","$1,663K",956.3678537
Jul-17,"San Francisco, CA - Lower Haight","$1,723K",978.0285036
Aug-17,"San Francisco, CA - Lower Haight","$1,723K","1,111.80"
Sep-17,"San Francisco, CA - Lower Haight","$1,720K","1,054.81"
Oct-17,"San Francisco, CA - Lower Haight","$1,800K",985.5769231
Nov-17,"San Francisco, CA - Lower Haight","$1,673K",859.375
Dec-17,"San Francisco, CA - Lower Haight","$1,550K",839.84375
Jan-18,"San Francisco, CA - Lower Haight","$1,295K",859.375
Feb-18,"San Francisco, CA - Lower Haight","$1,195K","1,116.19"
Mar-18,"San Francisco, CA - Lower Haight","$1,346K",982.8136497
Apr-18,"San Francisco, CA - Lower Haight","$1,600K",929.9205175
May-18,"San Francisco, CA - Lower Haight","$1,667K","1,007.88"
Jun-18,"San Francisco, CA - Lower Haight","$1,594K","1,130.04"
Jul-18,"San Francisco, CA - Lower Haight","$1,570K","1,189.18"
Aug-18,"San Francisco, CA - Lower Haight","$1,570K",998.3700082
Sep-18,"San Francisco, CA - Lower Haight","$1,858K",998.3700082
Oct-18,"San Francisco, CA - Lower Haight","$1,810K",998.3700082
Nov-18,"San Francisco, CA - Lower Haight","$1,436K",960.1013996
Dec-18,"San Francisco, CA - Lower Haight","$1,225K",887.0087336
Jan-19,"San Francisco, CA - Lower Haight","$1,573K","1,062.93"
Feb-19,"San Francisco, CA - Lower Haight","$1,573K","1,002.78"
Mar-19,"San Francisco, CA - Lower Haight","$1,250K","1,082.32"
Apr-19,"San Francisco, CA - Lower Haight","$1,325K","1,191.62"
May-19,"San Francisco, CA - Lower Haight","$1,164K","1,202.81"
Jun-19,"San Francisco, CA - Lower Haight","$1,400K","1,165.41"
Jul-19,"San Francisco, CA - Lower Haight","$1,433K","1,117.12"
Aug-19,"San Francisco, CA - Lower Haight","$1,470K","1,164.81"
Sep-19,"San Francisco, CA - Lower Haight","$1,560K","1,188.68"
Oct-19,"San Francisco, CA - Lower Haight","$1,267K","1,142.69"
Nov-19,"San Francisco, CA - Lower Haight","$1,107K","1,055.11"
Dec-19,"San Francisco, CA - Lower Haight","$1,020K","1,121.17"
Jan-20,"San Francisco, CA - Lower Haight","$1,089K",360.1600711
Feb-20,"San Francisco, CA - Lower Haight","$1,200K",440.8462626
Feb-12,"San Francisco, CA - Lone Mountain",$810K,502.566503
Mar-12,"San Francisco, CA - Lone Mountain",$854K,510.460251
Apr-12,"San Francisco, CA - Lone Mountain","$1,018K",576.4705882
May-12,"San Francisco, CA - Lone Mountain","$1,024K",543.4421291
Jun-12,"San Francisco, CA - Lone Mountain","$1,030K",630.8205128
Jul-12,"San Francisco, CA - Lone Mountain",$945K,625.6410256
Aug-12,"San Francisco, CA - Lone Mountain",$863K,620.3878294
Sep-12,"San Francisco, CA - Lone Mountain",$960K,602.9030914
Oct-12,"San Francisco, CA - Lone Mountain","$1,066K",549.6358396
Nov-12,"San Francisco, CA - Lone Mountain","$1,070K",549.6358396
Dec-12,"San Francisco, CA - Lone Mountain","$1,070K",485.5371901
Jan-13,"San Francisco, CA - Lone Mountain","$1,070K",600.4694836
Feb-13,"San Francisco, CA - Lone Mountain","$1,175K",669.1666667
Mar-13,"San Francisco, CA - Lone Mountain","$1,241K",655.226209
Apr-13,"San Francisco, CA - Lone Mountain","$1,260K",669.1666667
May-13,"San Francisco, CA - Lone Mountain","$1,270K",795.3164515
Jun-13,"San Francisco, CA - Lone Mountain","$1,385K",795.3164515
Jul-13,"San Francisco, CA - Lone Mountain","$1,370K",749.7857868
Aug-13,"San Francisco, CA - Lone Mountain","$1,290K",579.5848192
Sep-13,"San Francisco, CA - Lone Mountain","$1,185K",573.0769231
Oct-13,"San Francisco, CA - Lone Mountain","$1,185K",634.6153846
Nov-13,"San Francisco, CA - Lone Mountain","$1,248K",676
Dec-13,"San Francisco, CA - Lone Mountain","$1,388K",652.5157233
Jan-14,"San Francisco, CA - Lone Mountain","$1,473K",676
Feb-14,"San Francisco, CA - Lone Mountain","$1,694K",729.6416938
Mar-14,"San Francisco, CA - Lone Mountain","$1,298K",721.6953773
Apr-14,"San Francisco, CA - Lone Mountain","$1,300K",713.7490609
May-14,"San Francisco, CA - Lone Mountain","$1,345K",810.3998663
Jun-14,"San Francisco, CA - Lone Mountain","$1,658K",815.6856213
Jul-14,"San Francisco, CA - Lone Mountain","$1,409K",842.4158142
Aug-14,"San Francisco, CA - Lone Mountain","$1,355K",838.6350492
Sep-14,"San Francisco, CA - Lone Mountain","$1,328K",792.8388747
Oct-14,"San Francisco, CA - Lone Mountain","$1,300K",727.5600506
Nov-14,"San Francisco, CA - Lone Mountain","$1,238K",725.7654974
Dec-14,"San Francisco, CA - Lone Mountain","$1,208K",732.3943662
Jan-15,"San Francisco, CA - Lone Mountain","$1,240K",755.773268
Feb-15,"San Francisco, CA - Lone Mountain","$1,240K",882.3529412
Mar-15,"San Francisco, CA - Lone Mountain","$1,200K",968.75
Apr-15,"San Francisco, CA - Lone Mountain","$1,282K",971.5073529
May-15,"San Francisco, CA - Lone Mountain","$1,538K",968.75
Jun-15,"San Francisco, CA - Lone Mountain","$1,550K",962.1451104
Jul-15,"San Francisco, CA - Lone Mountain","$1,580K",962.1451104
Aug-15,"San Francisco, CA - Lone Mountain","$1,513K",880.1526418
Sep-15,"San Francisco, CA - Lone Mountain","$1,325K",798.1601732
Oct-15,"San Francisco, CA - Lone Mountain","$1,525K",738.9473013
Nov-15,"San Francisco, CA - Lone Mountain","$1,653K",690.2193273
Dec-15,"San Francisco, CA - Lone Mountain","$1,525K",688.4578395
Jan-16,"San Francisco, CA - Lone Mountain","$1,210K",798.1220657
Feb-16,"San Francisco, CA - Lone Mountain","$1,210K",961.8123845
Mar-16,"San Francisco, CA - Lone Mountain","$1,300K",927.0320463
Apr-16,"San Francisco, CA - Lone Mountain","$1,418K",829.835054
May-16,"San Francisco, CA - Lone Mountain","$1,363K",881.0197883
Jun-16,"San Francisco, CA - Lone Mountain","$1,363K",916.9363538
Jul-16,"San Francisco, CA - Lone Mountain","$1,363K","1,015.06"
Aug-16,"San Francisco, CA - Lone Mountain","$1,225K",931.3858696
Sep-16,"San Francisco, CA - Lone Mountain","$1,300K",843.75
Oct-16,"San Francisco, CA - Lone Mountain","$1,300K",869.3548387
Nov-16,"San Francisco, CA - Lone Mountain","$1,213K",919.8216735
Dec-16,"San Francisco, CA - Lone Mountain","$1,213K",783.6070221
Jan-17,"San Francisco, CA - Lone Mountain",$938K,"1,039.98"
Feb-17,"San Francisco, CA - Lone Mountain","$1,050K","1,013.04"
Mar-17,"San Francisco, CA - Lone Mountain","$1,275K","1,013.04"
Apr-17,"San Francisco, CA - Lone Mountain","$1,450K",999.1907097
May-17,"San Francisco, CA - Lone Mountain","$1,663K","1,012.99"
Jun-17,"San Francisco, CA - Lone Mountain","$1,950K","1,029.80"
Jul-17,"San Francisco, CA - Lone Mountain","$1,625K","1,029.80"
Aug-17,"San Francisco, CA - Lone Mountain","$1,610K","1,152.81"
Sep-17,"San Francisco, CA - Lone Mountain","$1,610K","1,087.32"
Oct-17,"San Francisco, CA - Lone Mountain","$1,825K",986.3013699
Nov-17,"San Francisco, CA - Lone Mountain","$1,800K",969.8879552
Dec-17,"San Francisco, CA - Lone Mountain","$1,813K",838.7096774
Jan-18,"San Francisco, CA - Lone Mountain","$1,800K","1,000"
Feb-18,"San Francisco, CA - Lone Mountain","$2,600K","1,000"
Mar-18,"San Francisco, CA - Lone Mountain","$2,210K","1,076.24"
Apr-18,"San Francisco, CA - Lone Mountain","$1,525K","1,105.40"
May-18,"San Francisco, CA - Lone Mountain","$1,525K","1,157.51"
